Entity
UNDP
United Nations
Afghanistan
Government
Central Statistics Organization
UNAMA
Ministry of Interior
Ministry of Justice
Attorney General’s Office
Ministry of Women’s Affairs
National Police Programmes
Ministry of Energy and Water (MEW)
Africa
Awoken
Anou-Araren
Statistical Committee of Armenia (ArmStat)
Biomass
Burkina Faso
Energy Storage Systems (ESS)
Foreign Direct Investment (FDI)
Geographic Information System (GIS)
Human Development Index (HDI)
Households
International Atomic Energy Agency (IAEA)
LECO
LPG
Ministry of Transport and Civil Aviation(MTCA)
The West African Power Pool (WAPP)
United Nations Sustainable Development Cooperation Framework (UNSDCF)
World Bank
